Refererence set,Term,Preferred Term,Concept Id
Mål,Able to participate in leisure activities (finding),i stand til å delta i fritidsaktivitet,300738008
Mål,No injury due to perioperative positioning (situation),ingen perioperativ leiringsskade,1149392006
Mål,Normal state of mind (finding),normal sinnstilstand,830123008
Mål,Adequate level of blood glucose (finding),tilfredsstillande blodsukkernivå,278571000202104
Mål,Feeling proud (finding),kjenner seg stolt,1149081002
Mål,Demonstrates knowledge of sexual behavior (finding),viser kunnskap om seksuell atferd,1149391004
Mål,Health seeking behavior alteration (finding),endring i helsesøkende atferd,130970002
Mål,Adequate ventilation (finding),tilfredsstillende ventilasjon,657881000202100
Mål,Demonstrates knowledge of infant feeding (finding),viser kunnskap om mating av spedbarn,1141692002
Mål,Demonstrates knowledge of patient controlled analgesia (finding),viser kunnskap om pasientstyrt analgesi,1141695000
Mål,Able to clear airway effectively (finding),i stand til å oppretthalda frie luftvegar,1145305006
Mål,Mood stable (finding),stabilt stemningsleie,225658008
Mål,Reduced duration of seizures (finding),redusert anfallsvarighet,11231000202108
Mål,Improved food intake (finding),betra matinntak,6281000202103
Mål,Demonstrates knowledge of behavior change process (finding),viser kunnskap om åtferdsendring,1141650007
Mål,Adequate tactile sensation (finding),tilfredsstillande kjenslesans,279031000202103
Mål,Improved sensory function (finding),bedret sensibilitet,717241000
Mål,Normal gastrointestinal system function (finding),normal gastrointestinal funksjon,1148791007
Mål,Managing to control symptoms (finding),kontrollerer symptomer,1149243003
Mål,Composition of nutrient intake consistent with requirement (finding),næringsinntak i samsvar med behov,1156885001
Mål,Able to hear (finding),i stand til å høre,300199007
Mål,Feeling more empowered (finding),føler seg mer myndiggjort,1144481009
Mål,Adequate musculoskeletal system function (finding),tilfredsstillande muskel- og skjelettfunksjon,10321000202109
Mål,Decreased caregiver stress (situation),redusert stress hos omsorgsgiver,1149158002
Mål,Mentally alert (finding),klar og orientert,248234008
Mål,Adequate urinary tract function (finding),tilfredsstillende funksjon i urinveier,14761000202109
Mål,Able to control anger (finding),i stand til å kontrollera sinne,285848000
Mål,No cramp (situation),ingen krampe,297341000202109
Mål,Does accept health status (finding),aksepterer helsetilstand,1137433009
Mål,Adequate tissue perfusion (finding),tilfredsstillende vevsperfusjon,279051000202107
Mål,Appetite normal (finding),normal matlyst,161825005
Mål,Not sedated (situation),ikkje sedert,1157030006
Mål,Improved cognition (finding),betra kognisjon,6291000202101
Mål,Patient not affected by gurgling breath (finding),pasienten er ikke plaget av surklete pust,17361000202103
Mål,Ready for enhanced family processes (finding),klar for betra familieprosess,426798008
Mål,Surgical follow-up - normal (finding),normal kirurgisk oppfølging,183645004
Mål,Decreased stress (finding),redusert stress,79365001
Mål,Normal pregnancy (finding),normalt svangerskap,72892002
Mål,Able to perform health maintenance (finding),i stand til å oppretthalda helse,1148972003
Mål,Improved balance (finding),bedret balanse,733742003
Mål,Increased vision (finding),bedret syn,31342001
Mål,Adequate endocrine system (finding),tilfredsstillende endokrint system,278831000202104
Mål,Absence of signs and symptoms of chemical injury (situation),ingen teikn eller symptom på kjemisk skade,397658000
Mål,Adequate reproductive system function (finding),tilfredsstillande funksjon i reproduksjonssystem,278951000202101
Mål,Maintained safety status (finding),oppretthalden tryggleiksstatus,507591000202102
Mål,No perioperative injury (situation),ingen perioperativ skade,1149351002
Mål,Has access to transportation (finding),har tilgang til transport,1137434003
Mål,Has adequate sleep (finding),tilstrekkelig søvn,1137437005
Mål,Is informed (finding),er informert,225795001
Mål,No wandering (situation),ingen vandring,1149346008
Mål,Reduced itching (finding),redusert kløe,557651000202102
Mål,Adequate respiratory pattern (finding),tilfredsstillande respirasjonsmønster,12341000202101
Mål,Improved response to rape trauma (finding),bedret traumereaksjon etter voldtekt,9761000202107
Mål,No delusions (situation),ingen vrangførestillingar,17151000202103
Mål,Able to process information (finding),i stand til å bearbeida informasjon,307083000
